Ecosystem,Watershed,Site,Wetland Class,Year,Total Removed,Total Number of Stems,,
Wetland,St. Peters River,Opposite Ryan Site,Other,2008,1,65,,
Wetland,Grahams Creek,Homestead Trail,Marsh,2009,1,2,,
Wetland,Schooner Creek,Schooner Pond,Marsh,2009,10,15,,
Wetland,Dalvay Lake,Dalvay Lake,Marsh,2009,0,0,,
Wetland,Lake of Shining Waters,Hammies Lane,Marsh,2009,6,17,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,2009,27,115,,
Wetland,Dalvay Lake,Campbells Pond,Marsh,2009,0,0,,
Wetland,St. Peters River,Opposite Ryan Site,Other,2009,4,11,,
Wetland,Grahams Creek,Homestead Trail,Marsh,2010,13,70,,
Wetland,Schooner Creek,Schooner Pond,Marsh,2010,145,203,,
Wetland,Dalvay Lake,Dalvay Lake,Marsh,2010,0,0,,
Wetland,Lake of Shining Waters,Hammies Lane,Marsh,2010,17,57,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,2010,106,301,,
Wetland,Dalvay Lake,Campbells Pond,Marsh,2010,148,165,,
Wetland,St. Peters River,Opposite Ryan Site,Other,2010,3,6,,
Wetland,Grahams Creek,Homestead Trail,Marsh,2011,9,208,,
Wetland,Schooner Creek,Schooner Pond,Marsh,2011,25,76,,
Wetland,Dalvay Lake,Dalvay Lake,Marsh,2011,0,0,,
Wetland,Lake of Shining Waters,Hammies Lane,Marsh,2011,0,0,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,2011,53,146,,
Wetland,Dalvay Lake,Campbells Pond,Marsh,2011,0,0,,
Freshwater,Lake of Shining Waters,Balsam Hollow Brook,Stream,2011,1,22,,
Wetland,St. Peters River,Opposite Ryan Site,Other,2011,0,0,,
Wetland,Grahams Creek,Homestead Trail,Marsh,2012,60,117,,
Wetland,Schooner Creek,Schooner Pond,Marsh,2012,5,49,,
Wetland,Dalvay Lake,Dalvay Lake,Marsh,2012,1,9,,
Wetland,Lake of Shining Waters,Hammies Lane,Marsh,2012,5,33,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,2012,30,69,,
Wetland,Dalvay Lake,Campbells Pond,Marsh,2012,0,0,,
Freshwater,Lake of Shining Waters,Balsam Hollow Brook,Stream,2012,0,0,,
Wetland,St. Peters River,Opposite Ryan Site,Other,2012,0,0,,
Wetland,Grahams Creek,Homestead Trail,Marsh,2013,7,82,,
Wetland,Schooner Creek,Schooner Pond,Marsh,2013,4,29,,
Wetland,Dalvay Lake,Dalvay Lake,Marsh,2013,0,0,,
Wetland,Lake of Shining Waters,Hammies Lane,Marsh,2013,3,27,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,2013,64,108,,
Wetland,Dalvay Lake,Campbells Pond,Marsh,2013,19,203,,
Freshwater,Lake of Shining Waters,Balsam Hollow Brook,Stream,2013,0,0,,
Wetland,St. Peters River,Opposite Ryan Site,Other,2013,7,28,,
Wetland,Grahams Creek,Homestead Trail,Marsh,2014,3,45,,
Wetland,Schooner Creek,Schooner Pond,Marsh,2014,7,42,,
Wetland,Dalvay Lake,Dalvay Lake,Marsh,2014,0,0,,
Wetland,Lake of Shining Waters,Hammies Lane,Marsh,2014,8,53,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,2014,29,83,,
Wetland,Dalvay Lake,Campbells Pond,Marsh,2014,5,147,,
Freshwater,Lake of Shining Waters,Balsam Hollow Brook,Stream,2014,0,0,,
Wetland,Grahams Creek,Homestead Trail,Marsh,2015,0,0,,
Wetland,Schooner Creek,Schooner Pond,Marsh,2015,84,309,,
Wetland,Dalvay Lake,Dalvay Lake,Marsh,2015,0,0,,
Wetland,Lake of Shining Waters,Hammies Lane,Marsh,2015,0,0,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,2015,59,206,,
Wetland,Dalvay Lake,Campbells Pond,Marsh,2015,40,109,,
Wetland,Dalvay Lake,Campbells Marsh,Marsh,2015,461,2018,,
Freshwater,Lake of Shining Waters,Balsam Hollow Brook,Stream,2015,0,0,,
Wetland,St. Peters River,Opposite Ryan Site,Other,2015,1,14,,
Wetland,Grahams Creek,Homestead Trail,Marsh,2016,23,110,,
Wetland,Schooner Creek,Schooner Pond,Marsh,2016,13,59,,
Wetland,Dalvay Lake,Dalvay Lake,Marsh,2016,1,13,,
Wetland,Lake of Shining Waters,Hammies Lane,Marsh,2016,8,57,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,2016,99,184,,
Wetland,Dalvay Lake,Campbells Pond,Marsh,2016,79,253,,
Wetland,Dalvay Lake,Campbells Marsh,Marsh,2016,3447,5514,,
Wetland,Grahams Creek,Homestead Trail,Marsh,2017,8,16,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,2017,54,130,,
Wetland,Schooner Creek,Schooner Pond,Marsh,2017,18,107,,
Wetland,Dalvay Lake,Campbells Marsh,Marsh,2017,2234,3535,,
Wetland,Grahams Creek,Homestead Trail,Marsh,2018,6,6,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,2018,33,105,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,2018,21,35,,
Wetland,Schooner Creek,Schooner Pond,Marsh,2018,6,6,,
Wetland,Dalvay Lake,Campbells Pond,Marsh,2018,14,27,,
Wetland,Dalvay Lake,Campbells Marsh,Marsh,2018,2226,3334,,
Wetland,Dalvay Lake,Campbells Pond,Marsh,2018,2,2,,
Wetland,Lake of Shining Waters,Hammies Lane,Marsh,2018,4,19,,
Freshwater,Lake of Shining Waters,Clarke's Lane,Stream,2018,13,43,,
Wetland,Lake of Shining Waters,Grahams Lane,Marsh,2019,1,30,,
Wetland,Lake of Shining Waters,Hammies Lane,Marsh,2019,2,62,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,2019,,,,
Wetland,Schooner Creek,Schooner Pond,Marsh,2019,3,11,,
Wetland,Dalvay Lake,Campbells Pond,Marsh,2019,17,27,,
Wetland,Dalvay Lake,Campbells Marsh,Marsh,2019,467,681,,
Wetland,Dalvay Lake,Campbells Pond,Marsh,2020,10,54,,
Wetland,Dalvay Lake,Campbells Marsh,Marsh,2020,91,181,,
Wetland,Dalvay Lake,Campbells Marsh,Other,2020,2,15,,
Wetland,Lake of Shining Waters,Grahams Lane,Marsh,2021,2,4,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,2021,7,22,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,2021,47,68,,
Wetland,Schooner Creek,Schooner Pond,Marsh,2021,17,50,,
Wetland,Dalvay Lake,Campbells Pond,Marsh,2021,103,160,,
Wetland,Dalvay Lake,Campbells Marsh,Marsh,2021,3079,3780,,
Roadside,Lake of Shining Waters,Grahams Lane,Marsh,2022,4,6,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,2022,4,17,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,2022,22,110,,
Wetland,Schooner Creek,Schooner Pond,Marsh,2022,6,21,,
Wetland,Dalvay Lake,Campbells Pond,Marsh,2022,1,2,,
Wetland,Dalvay Lake,Campbells Marsh,Marsh,2022,1942,2731,,
Wetland,Dalvay Lake,Campbells Pond,Marsh,2022,185,277,,
Wetland,Dalvay Lake,Campbells Marsh,Marsh,2022,5,46,,
Field,Lake of Shining Waters,Cavendish Grove,Other,2022,8,14,,
Wetland,Lake of Shining Waters,Lift Station,Other,2022,47,118,,
Roadside,Lake of Shining Waters,Grahams Lane,Marsh,2023,1,3,,
Wetland,Grahams Creek,Homestead Trail,Marsh,2023,4,98,,
Wetland,Lake of Shining Waters,Hammies Lane,Marsh,2023,1,18,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,2023,1,2,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,2023,15,50,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,2023,1,1,,
Wetland,Schooner Creek,Schooner Pond,Marsh,2023,25,34,,
Wetland,Dalvay Lake,Campbells Marsh,Marsh,2023,816,1091,,
Wetland,Dalvay Lake,Campbells Pond,Marsh,2023,481,786,,
Wetland,Dalvay Lake,Campbells Marsh,Marsh,2023,6,47,,
Field,Lake of Shining Waters,Cavendish Grove,Other,2023,4,5,,
Wetland,Lake of Shining Waters,Lift Station,Other,2023,1,32,,
Roadside,Lake of Shining Waters,Route 13,Other,2023,2,25,,
Roadside,Dalvay Lake,Dalvay Gate,Other,2023,1,1,,
Wetland,Grahams Creek,Homestead Trail,Marsh,2024,6,25,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,2024,2,3,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,2024,19,24,,
Wetland,Lake of Shining Waters,Simpson Property,Marsh,2024,1,1,,
Wetland,Schooner Creek,Schooner Pond,Marsh,2024,25,27,,
Wetland,Dalvay Lake,Campbells Marsh,Marsh,2024,4734,7007,,
Wetland,Dalvay Lake,Campbells Pond,Marsh,2024,94,178,,
Wetland,Dalvay Lake,Campbells Marsh,Marsh,2024,18,51,,
Field,Lake of Shining Waters,Cavendish Grove,Other,2024,5,6,,
Wetland,Lake of Shining Waters,Lift Station,Other,2024,2,8,,
Freshwater,Lake of Shining Waters,"Cavendish Grove, Upper Pond, Beaver Dam",Other,2024,1,25,,
,,,,,,,,
