Plot Identification,Date (D/M/Y),Park Name,Access (Trail Name),Species Present in Area,Total Cover Along transect,Percent Cover Per Species (%),Latitude,Distance_Between_Transects_in_Metres,Longitude,Location ID
ICZ 9,13/07/2016,Yoho,Sprial Tunnels,Taraxacum officinale,1.31%,5.24%,51.34760077,2500,-116.5492064,21
ICZ 12,29/07/2016,Yoho,Ottertail Pit,Melilotus officinalis,20.51%,82.04%,51.34760077,2500,-116.5492064,22
ICZ 12,29/07/2016,Yoho,Ottertail Pit,Hieracium aurantiacum,0.29%,1.16%,51.34760077,2500,-116.5492064,23
ICZ 12,29/07/2016,Yoho,Ottertail Pit,Leucanthemum vulgare,11.40%,45.60%,51.34760077,2500,-116.5492064,24
ICZ 12,29/07/2016,Yoho,Ottertail Pit,Taraxacum officinale,1.81%,7.24%,51.34760077,2500,-116.5492064,25
ICZ 12,29/07/2016,Yoho,Ottertail Pit,Sonchus arvensis,1.38%,5.52%,51.34760077,2500,-116.5492064,26
ICZ 12,29/07/2016,Yoho,Ottertail Pit,Verbascum thapsus,0.15%,0.15%,51.34760077,2500,-116.5492064,27
ICZ 12,29/07/2016,Yoho,Ottertail Pit,Ranunculus acris,0.15%,0.15%,51.34760077,2500,-116.5492064,28
ICZ 12,29/07/2016,Yoho,Ottertail Pit,Cirsium arvense,0.15%,0.15%,51.34760077,2500,-116.5492064,29
ICZ 26,09/08/2016,Yoho,Ottertail Pit,Leucanthemum vulgare,0.15%,0.15%,51.27714194,2500,-116.5891506,30
ICZ 26,09/08/2016,Yoho,Ottertail Pit,Melilotus officinalis,0.15%,0.15%,51.27714194,2500,-116.5891506,31
ICZ 26,09/08/2016,Yoho,Ottertail Pit,Taraxacum officinale,0.15%,0.15%,51.27714194,2500,-116.5891506,32
ICZ 26,09/08/2016,Yoho,Ottertail Pit,Sonchus arvensis,0.15%,0.15%,51.27714194,2500,-116.5891506,33
ICZ 36,04/08/2016,Yoho,Ottertail Pit,Cirsium vulgare,0.15%,0.15%,51.3164404,2500,-116.5773634,34
ICZ 36,04/08/2016,Yoho,Ottertail Pit,Trifolium pratense,0.15%,0.15%,51.3164404,2500,-116.5773634,35
ICZ 36,04/08/2016,Yoho,Ottertail Pit,Centaurea diffusa,0.15%,0.15%,51.3164404,2500,-116.5773634,36
ICZ 36,04/08/2016,Yoho,Ottertail Pit,Leucanthemum vulgare,0.15%,0.15%,51.3164404,2500,-116.5773634,37
ICZ 36,04/08/2016,Yoho,Ottertail Pit,Trifolium pratense,0.15%,0.15%,51.3164404,2500,-116.5773634,38
ICZ 36,04/08/2016,Yoho,Ottertail Pit,Taraxacum officinale,0.15%,0.15%,51.3164404,2500,-116.5773634,39
ICZ 36,04/08/2016,Yoho,Ottertail Pit,Sonchus arvensis,0.15%,0.15%,51.3164404,2500,-116.5773634,40
